method,offered_demand_gbps,served_throughput_gbps,served_ratio,unmet_demand_gbps,unmet_fraction,connected_flows,avg_hops,matched_satellite_pairs,case,config,selection,offset_minutes,snapshot_utc,evaluation_seconds,candidate_inter_shell_pairs,selected_inter_shell_pairs
+Grid,343.11879000000005,84.74562197814254,0.24698624630304428,258.3731680218575,0.7530137536969557,235,22.29004329004329,971,mixed-s2-t120,mixed,2,120,2025-07-16T18:00:00,3.9052441499661654,9985,17
DRL,343.11879000000005,39.919138225257356,0.11634203485404385,303.1996517747427,0.8836579651459561,110,16.99019607843137,954,mixed-s2-t120,mixed,2,120,2025-07-16T18:00:00,4.0333392129978165,9985,348
DuJo,343.11879000000005,143.14033100189593,0.41717427075881186,199.97845899810412,0.5828257292411881,366,12.271484375,958,mixed-s2-t120,mixed,2,120,2025-07-16T18:00:00,168.82350566692185,9985,347
MRate,343.11879000000005,129.32477765620638,0.37690963428789886,213.79401234379367,0.6230903657121012,331,7.515447154471545,970,mixed-s2-t120,mixed,2,120,2025-07-16T18:00:00,3.9917188859544694,9985,394
SaTE,343.11879000000005,129.32477765620638,0.37690963428789886,213.79401234379367,0.6230903657121012,331,7.515447154471545,970,mixed-s2-t120,mixed,2,120,2025-07-16T18:00:00,3.9021337459562346,9985,394
+Grid,370.87791000000004,91.31208997467303,0.24620525383858266,279.565820025327,0.7537947461614173,250,11.52199413489736,969,mixed-s2-t180,mixed,2,180,2025-07-16T19:00:00,3.4978473940864205,9967,20
DRL,370.87791000000004,41.060281986583476,0.11071104770457607,329.81762801341654,0.8892889522954238,113,18.647773279352226,962,mixed-s2-t180,mixed,2,180,2025-07-16T19:00:00,3.475356327020563,9967,313
DuJo,370.87791000000004,146.0977717072634,0.3939241668700716,224.78013829273664,0.6060758331299284,369,13.170542635658915,960,mixed-s2-t180,mixed,2,180,2025-07-16T19:00:00,177.79345533193555,9967,364
MRate,370.87791000000004,125.90684035229367,0.3394832556953679,244.97106964770637,0.660516744304632,322,13.597080291970803,970,mixed-s2-t180,mixed,2,180,2025-07-16T19:00:00,3.4560040050419047,9967,374
SaTE,370.87791000000004,125.90684035229367,0.3394832556953679,244.97106964770637,0.660516744304632,322,13.597080291970803,970,mixed-s2-t180,mixed,2,180,2025-07-16T19:00:00,3.527695131022483,9967,374
+Grid,357.23152000000005,127.15304678604573,0.35594016671889905,230.0784732139543,0.644059833281101,327,9.181818181818182,983,shell43-s0-t000,shell43,0,0,2025-07-16T16:00:00,2.720896024024114,0,0
DRL,357.23152000000005,49.04169542111353,0.13728266593360386,308.1898245788865,0.8627173340663961,139,27.86387434554974,963,shell43-s0-t000,shell43,0,0,2025-07-16T16:00:00,3.2481237719766796,0,0
DuJo,357.23152000000005,151.49389197696937,0.42407761772244884,205.73762802303068,0.5759223822775511,394,7.926732673267327,957,shell43-s0-t000,shell43,0,0,2025-07-16T16:00:00,161.0050726979971,0,0
MRate,357.23152000000005,144.8927653885194,0.4055990506899262,212.33875461148065,0.5944009493100738,375,12.370477568740956,972,shell43-s0-t000,shell43,0,0,2025-07-16T16:00:00,2.6839409440290183,0,0
SaTE,357.23152000000005,144.8927653885194,0.4055990506899262,212.33875461148065,0.5944009493100738,375,12.370477568740956,972,shell43-s0-t000,shell43,0,0,2025-07-16T16:00:00,2.666664437041618,0,0
+Grid,359.52702000000005,122.07418190280072,0.3395410500796316,237.45283809719933,0.6604589499203685,324,19.535283993115318,981,shell43-s0-t030,shell43,0,30,2025-07-16T16:30:00,3.050232999958098,0,0
DRL,359.52702000000005,37.98098433568327,0.10564152962879747,321.5460356643168,0.8943584703712025,107,15.586872586872587,956,shell43-s0-t030,shell43,0,30,2025-07-16T16:30:00,3.183748026029207,0,0
DuJo,359.52702000000005,153.27946461990484,0.4263364256180379,206.2475553800952,0.5736635743819621,401,8.33140655105973,962,shell43-s0-t030,shell43,0,30,2025-07-16T16:30:00,213.09139155608136,0,0
MRate,359.52702000000005,135.3192344992127,0.3763812647494831,224.20778550078734,0.6236187352505169,348,13.943283582089553,969,shell43-s0-t030,shell43,0,30,2025-07-16T16:30:00,2.6861622269498184,0,0
SaTE,359.52702000000005,135.3192344992127,0.3763812647494831,224.20778550078734,0.6236187352505169,348,13.943283582089553,969,shell43-s0-t030,shell43,0,30,2025-07-16T16:30:00,3.0491053470177576,0,0
+Grid,361.33798,130.24635186389617,0.36045574800605285,231.09162813610385,0.6395442519939472,342,22.882747068676718,982,shell43-s0-t060,shell43,0,60,2025-07-16T17:00:00,2.875583079061471,0,0
DRL,361.33798,47.075483129032605,0.13028102700145885,314.2624968709674,0.8697189729985412,128,12.781115879828326,948,shell43-s0-t060,shell43,0,60,2025-07-16T17:00:00,2.906898849993013,0,0
DuJo,361.33798,164.15580918313506,0.4542999027756093,197.18217081686495,0.5457000972243907,418,9.06398537477148,951,shell43-s0-t060,shell43,0,60,2025-07-16T17:00:00,180.8396084799897,0,0
MRate,361.33798,143.5594100341072,0.39729953113178745,217.7785699658928,0.6027004688682125,373,19.607795371498174,970,shell43-s0-t060,shell43,0,60,2025-07-16T17:00:00,2.999688139068894,0,0
SaTE,361.33798,143.5594100341072,0.39729953113178745,217.7785699658928,0.6027004688682125,373,19.607795371498174,970,shell43-s0-t060,shell43,0,60,2025-07-16T17:00:00,2.7251872789347544,0,0
+Grid,359.02336,125.38982783731672,0.3492525607172656,233.6335321626833,0.6507474392827344,327,10.285714285714286,977,shell43-s0-t090,shell43,0,90,2025-07-16T17:30:00,3.038183492026292,0,0
DRL,359.02336,42.40562125550059,0.1181138220518592,316.61773874449943,0.8818861779481408,118,17.7,953,shell43-s0-t090,shell43,0,90,2025-07-16T17:30:00,2.7543651500018314,0,0
DuJo,359.02336,147.86547723050478,0.41185475293447416,211.15788276949525,0.5881452470655258,381,10.611001964636543,960,shell43-s0-t090,shell43,0,90,2025-07-16T17:30:00,187.02444589301012,0,0
